Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
0,299.4935374.025
2.0,299.3244374.0189
4.0,299.1889374.0189
6.0,299.3244374.0232
8.0,299.3244374.0255
10.0,299.2903374.0289
12.0,299.4258374.0226
14.0,299.4935374.0211
16.0,299.2567374.0181
18.0,299.2567374.0186
20.0,299.3919374.0253
22.0,299.4597374.0202
24.0,299.4258374.0244
26.0,299.4935374.025
Date,2024-12-04 18:51:36
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
0,303.9294373.9574
2.0,303.9294373.8761
4.0,303.9633373.8064
6.0,303.8617373.7283
8.0,304.1667373.6664
10.0,303.8955373.6085
12.0,303.8955373.5526
14.0,303.8278373.5004
16.0,303.9633373.4647
18.0,304.5055373.4222
20.0,305.3528373.3815
22.0,306.3023373.3357
24.0,307.1161373.264
26.0,308.4052373.178
28.0,309.1855373.0816
30.0,310.2039372.9644
32.0,311.4602372.8285
34.0,312.2414372.6908
36.0,313.4305372.5214
38.0,314.382372.3397
40.0,315.4361372.1399
42.0,316.422371.9362
44.0,317.5787371.7146
46.0,318.5996371.4784
48.0,319.6208371.2372
50.0,320.1995370.9663
52.0,321.3574370.7104
54.0,322.3111370.4355
56.0,323.0268370.154
58.0,324.0492369.857
60.0,324.9358369.5511
62.0,325.9929369.2541
64.0,326.5729368.9372
66.0,327.6646368.6236
68.0,328.5863368.3017
70.0,329.3372367.9684
72.0,330.2252367.6347
74.0,330.9765367.3005
76.0,331.9673366.9549
78.0,332.7875366.6013
80.0,333.608366.2446
82.0,334.326365.88
84.0,335.2493365.5076
86.0,335.9335365.132
88.0,336.823364.7622
90.0,337.2337364.3815
92.0,338.3291364.0006
94.0,339.0139363.6263
96.0,339.8015363.2499
98.0,340.5552362.8729
100.0,341.4117362.496
102.0,342.3027362.1205
104.0,342.8512361.7398
106.0,343.537361.362
108.0,344.4629361.0028
110.0,345.1832360.6285
112.0,345.7666360.2508
114.0,346.3842359.8882
116.0,347.3796359.5361
118.0,347.8602359.2001
120.0,348.6843358.8774
122.0,349.0965358.563
124.0,349.8865358.2648
126.0,350.78358.0015
128.0,351.3986357.7481
130.0,352.086357.4938
132.0,352.8081357.2479
134.0,353.3927357.0279
136.0,354.2182356.8214
138.0,354.7685356.6298
140.0,355.388356.4452
142.0,356.1452356.2827
144.0,356.8681356.1207
146.0,357.4534355.9585
148.0,358.2455355.8079
150.0,358.9688355.6632
152.0,359.4512355.5321
154.0,359.968355.4174
156.0,360.6572355.2883
158.0,361.3469355.168
160.0,361.9329355.05
162.0,362.588354.9549
164.0,363.0708354.8286
166.0,363.8989354.7298
168.0,364.4855354.6325
170.0,365.0375354.557
172.0,365.659354.4651
174.0,366.0041354.3612
176.0,366.7292354.2835
178.0,367.2817354.2094
180.0,368.007354.1244
182.0,368.6981354.0433
184.0,369.4238353.9475
186.0,369.5274353.8671
188.0,369.5274353.7983
190.0,369.5618353.731
192.0,369.1127353.6608
194.0,369.078353.6012
196.0,368.5598353.5436
198.0,367.8687353.4962
200.0,367.9379353.4631
202.0,367.9725353.4355
204.0,368.2145353.4171
206.0,368.8017353.3794
208.0,369.3546353.3657
210.0,369.3546353.3579
212.0,369.2508353.337
214.0,369.0089353.3251
216.0,368.5944353.3056
218.0,368.3181353.2346
220.0,368.1106353.2432
222.0,368.3181353.24
224.0,368.4562353.2437
226.0,368.8708353.1704
228.0,369.2508353.172
230.0,369.32353.1722
232.0,369.2855353.1733
234.0,369.1819353.1785
236.0,368.6634353.1788
238.0,368.4562353.1802
240.0,368.2489353.1866
242.0,368.5598353.1893
244.0,368.5944353.1932
246.0,369.078353.2115
248.0,369.4238353.2171
250.0,369.631353.2365
252.0,369.3891353.2314
254.0,369.2855353.2329
256.0,369.1127353.2437
258.0,368.4562353.2586
260.0,368.1798353.2633
262.0,368.0762353.2715
264.0,368.3526353.3005
266.0,368.5253353.3164
268.0,368.8708353.334
270.0,369.32353.3533
272.0,369.5274353.3644
274.0,369.078353.37
276.0,368.8017353.368
278.0,368.7325353.3781
280.0,368.3181353.3975
282.0,368.3526353.4107
284.0,368.2145353.4287
286.0,368.94353.4459
288.0,369.2508353.4636
290.0,369.2508353.4771
292.0,369.1819353.4953
294.0,368.9055353.5016
296.0,368.8708353.5043
298.0,368.4908353.5253
300.0,368.4908353.5343
302.0,368.4562353.5576
304.0,368.6289353.5705
306.0,369.2855353.5969
308.0,369.4238353.6186
310.0,369.2855353.6185
312.0,369.1819353.6327
314.0,369.0436353.642
316.0,368.8363353.6468
318.0,368.4562353.6645
320.0,368.2145353.6687
322.0,368.5944353.6841
324.0,368.9744353.7012
326.0,368.94353.7174
328.0,369.1127353.7251
330.0,368.94353.7418
332.0,368.767353.7552
334.0,368.5944353.7604
336.0,368.4908353.7716
338.0,368.3181353.7889
340.0,368.387353.7969
342.0,368.8708353.8157
344.0,369.1472353.8387
346.0,369.1127353.8462
348.0,369.078353.8563
350.0,369.1819353.8632
352.0,368.8363353.8821
354.0,368.6981353.8874
356.0,368.4217353.9106
358.0,368.3526353.9225
