Date,2024-11-16 17:05:19
Measurement Type,RT
sensorName,['NONE', 'A', 'B', 'C', 'D', 'D1', 'D2', 'D3', 'D4'],sensorCount,9,heaterCount,4,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,B,C,D,D1,D2,D3,D4,Resistance
0,300.017,297.119,276.053,2.7653,47.5581,0.0,0.0,0.0,32.02137
2.0,300.014,297.126,276.063,2.763,47.5774,0.0,0.0,0.0,31.69314
4.0,300.015,297.135,276.075,2.7509,47.5951,0.0,0.0,0.0,31.6935
6.0,299.922,297.141,276.088,2.7665,47.6129,0.0,0.0,0.0,31.69506
8.0,299.402,297.134,276.098,2.7665,47.6317,0.0,0.0,0.0,31.7152
10.0,298.956,297.128,276.109,2.7643,47.6495,0.0,0.0,0.0,31.72485
12.0,298.601,297.117,276.121,2.7578,47.6669,0.0,0.0,0.0,31.72305
14.0,298.29,297.1,276.133,2.7525,47.6839,0.0,0.0,0.0,31.72386
16.0,298.007,297.078,276.142,2.7672,47.6999,0.0,0.0,0.0,31.72707
18.0,297.759,297.054,276.155,2.7655,47.7162,0.0,0.0,0.0,31.72868
20.0,297.53,297.031,276.165,2.7594,47.7318,0.0,0.0,0.0,31.72902
22.0,297.317,297.002,276.174,2.7538,47.7473,0.0,0.0,0.0,31.7309
24.0,297.112,296.973,276.186,2.7682,47.7629,0.0,0.0,0.0,31.73136
26.0,296.924,296.94,276.193,2.7681,47.7783,0.0,0.0,0.0,31.73373
28.0,296.744,296.907,276.201,2.7656,47.793,0.0,0.0,0.0,31.73726
30.0,296.567,296.871,276.209,2.7529,47.8072,0.0,0.0,0.0,31.74229
Date,2024-11-16 17:12:08
Measurement Type,RT
sensorName,['NONE', 'A', 'B', 'C', 'D', 'D1', 'D2', 'D3', 'D4'],sensorCount,9,heaterCount,4,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,B,C,D,D1,D2,D3,D4,Resistance
0,288.523,291.843,275.314,2.7588,48.4589,0.0,0.0,0.0,32.41918
2.0,288.44,291.76,275.291,2.7589,48.4634,0.0,0.0,0.0,32.36275
4.0,288.364,291.691,275.269,2.7579,48.4666,0.0,0.0,0.0,32.42858
6.0,288.289,291.626,275.249,2.7531,48.4705,0.0,0.0,0.0,32.40832
8.0,288.219,291.554,275.228,2.7461,48.4736,0.0,0.0,0.0,32.42728
10.0,288.145,291.488,275.208,2.7599,48.4768,0.0,0.0,0.0,32.42516
12.0,288.071,291.419,275.186,2.7585,48.4804,0.0,0.0,0.0,32.42805
14.0,288.002,291.35,275.164,2.7517,48.4835,0.0,0.0,0.0,32.42133
16.0,287.927,291.281,275.144,2.7407,48.487,0.0,0.0,0.0,32.4138
18.0,287.858,291.213,275.122,2.7474,48.4903,0.0,0.0,0.0,32.41073
20.0,287.789,291.148,275.099,2.7514,48.4931,0.0,0.0,0.0,32.42093
22.0,287.713,291.077,275.078,2.746,48.4957,0.0,0.0,0.0,32.41706
24.0,287.645,291.01,275.057,2.7387,48.4993,0.0,0.0,0.0,32.41666
26.0,287.57,290.941,275.034,2.7414,48.5018,0.0,0.0,0.0,32.42334
28.0,287.492,290.868,275.011,2.748,48.5051,0.0,0.0,0.0,32.42546
30.0,287.424,290.799,274.988,2.746,48.5075,0.0,0.0,0.0,32.65532
32.0,287.354,290.73,274.967,2.7431,48.5098,0.0,0.0,0.0,32.65516
34.0,287.285,290.666,274.945,2.7343,48.5117,0.0,0.0,0.0,32.65407
36.0,287.218,290.598,274.922,2.7462,48.5132,0.0,0.0,0.0,32.65132
38.0,287.155,290.534,274.902,2.7454,48.5156,0.0,0.0,0.0,32.65175
40.0,287.086,290.466,274.881,2.7412,48.518,0.0,0.0,0.0,32.65184
42.0,287.019,290.399,274.858,2.7345,48.5195,0.0,0.0,0.0,32.64952
